全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
182044,0001123,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２０号,20ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001125,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２１号,21ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001127,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２２号,22ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001129,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２３号,23ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001131,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２４号,24ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001133,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２５号,25ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001135,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２６号,26ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001137,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２７号,27ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001139,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２８号,28ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001141,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２９号,29ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001143,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,２号,2ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
141526,0028002,2,神奈川県,カナガワケン,Kanagawa,,,,相模原市,サガミハラシ,Sagamihara-shi,中央区,チュウオウク,Chuo-ku,相生,アイオイ,Aioi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
192015,0037002,2,山梨県,ヤマナシケン,Yamanashi,,,,甲府市,コウフシ,Kofu-shi,,,,相生,アイオイ,Aioi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
232033,0001002,2,愛知県,アイチケン,Aichi,,,,一宮市,イチノミヤシ,Ichinomiya-shi,,,,相生,アイオイ,Aioi,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
282081,0013002,2,兵庫県,ヒョウゴケン,Hyogo,,,,相生市,アイオイシ,Aioi-shi,,,,相生,アイオイ,,二丁目,２チョウメ,2,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001145,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３０号,30ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001147,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,３１号,31ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
