全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
014656,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,剣淵町,ケンブチチョウ,Kembuchi-cho,,,
014681,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,下川町,シモカワチョウ,Shimokawa-cho,,,
014699,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,中川郡,ナカガワグン,Nakagawa-gun,美深町,ビフカチョウ,Bifuka-cho,,,
014702,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,中川郡,ナカガワグン,Nakagawa-gun,音威子府村,オトイネップムラ,Otoineppu-mura,,,
014711,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,中川郡,ナカガワグン,Nakagawa-gun,中川町,ナカガワチョウ,Nakagawa-cho,,,
014729,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,幌加内町,ホロカナイチョウ,Horokanai-cho,,,
014818,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,増毛郡,マシケグン,Mashike-gun,増毛町,マシケチョウ,Mashike-cho,,,
014826,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,留萌郡,ルモイグン,Rumoi-gun,小平町,オビラチョウ,Obira-cho,,,
014834,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,苫前郡,トママエグン,Tomamae-gun,苫前町,トママエチョウ,Tomamae-cho,,,
014842,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,苫前郡,トママエグン,Tomamae-gun,羽幌町,ハボロチョウ,Haboro-cho,,,
014851,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,苫前郡,トママエグン,Tomamae-gun,初山別村,ショサンベツムラ,Shosambetsu-mura,,,
014869,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,天塩郡,テシオグン,Teshio-gun,遠別町,エンベツチョウ,Embetsu-cho,,,
014877,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,天塩郡,テシオグン,Teshio-gun,天塩町,テシオチョウ,Teshio-cho,,,
015113,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,宗谷郡,ソウヤグン,Soya-gun,猿払村,サルフツムラ,Sarufutsu-mura,,,
015121,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,枝幸郡,エサシグン,Esashi-gun,浜頓別町,ハマトンベツチョウ,Hamatombetsu-cho,,,
015130,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,枝幸郡,エサシグン,Esashi-gun,中頓別町,ナカトンベツチョウ,Nakatombetsu-cho,,,
015148,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,枝幸郡,エサシグン,Esashi-gun,枝幸町,エサシチョウ,Esashi-cho,,,
015164,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,天塩郡,テシオグン,Teshio-gun,豊富町,トヨトミチョウ,Toyotomi-cho,,,
015172,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,礼文郡,レブングン,Rebun-gun,礼文町,レブンチョウ,Rebun-cho,,,
015181,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,利尻郡,リシリグン,Rishiri-gun,利尻町,リシリチョウ,Rishiri-cho,,,
015199,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,利尻郡,リシリグン,Rishiri-gun,利尻富士町,リシリフジチョウ,Rishirifuji-cho,,,
015202,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,天塩郡,テシオグン,Teshio-gun,幌延町,ホロノベチョウ,Horonobe-cho,,,
015431,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,網走郡,アバシリグン,Abashiri-gun,美幌町,ビホロチョウ,Bihoro-cho,,,
015440,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,網走郡,アバシリグン,Abashiri-gun,津別町,ツベツチョウ,Tsubetsu-cho,,,
015458,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,斜里郡,シャリグン,Shari-gun,斜里町,シャリチョウ,Shari-cho,,,
015466,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,斜里郡,シャリグン,Shari-gun,清里町,キヨサトチョウ,Kiyosato-cho,,,
